rank,name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales
1482,Petz Wild Animals: Dolphinz,DS,2007,Simulation,Ubisoft,0.71,0.48,0,0.13,1.33
1566,Rockstar Games presents Table Tennis,Wii,2007,Sports,Take-Two Interactive,0.39,0.73,0,0.15,1.27
1690,WWE SmackDown vs Raw 2008,PSP,2007,Fighting,THQ,0.45,0.47,0,0.28,1.19
1726,Sonic Rush Adventure,DS,2007,Platform,Sega,0.54,0.49,0.01,0.12,1.17
1766,Ninja Gaiden Sigma,PS3,2007,Action,Eidos Interactive,0.57,0.33,0.09,0.16,1.15
1874,The Simpsons Game,PSP,2007,Action,Electronic Arts,0.24,0.55,0,0.31,1.09
1878,Virtua Fighter 5,PS3,2007,Fighting,Sega,0.29,0.52,0.08,0.2,1.09
1906,The Orange Box,PS3,2007,Shooter,Electronic Arts,0.28,0.59,0,0.22,1.08
1946,Call of Duty 4: Modern Warfare,DS,2007,Shooter,Activision,0.96,0.02,0.01,0.08,1.06
1958,Dora the Explorer: Dora Saves the Mermaids,DS,2007,Platform,Take-Two Interactive,0.97,0.01,0,0.08,1.06
1962,Virtua Tennis 3,PS3,2007,Sports,Sega,0.23,0.59,0.03,0.22,1.06
1982,Imagine: Animal Doctor,DS,2007,Simulation,Ubisoft,0.45,0.49,0,0.11,1.05
2030,Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007,Shooter,Ubisoft,0.87,0.05,0.02,0.08,1.02
2038,Ace Combat 6: Fires of Liberation,X360,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.02
2130,Madden NFL 08,PS3,2007,Sports,Electronic Arts,0.89,0.01,0,0.08,0.97
2314,Spider-Man 3,PS2,2007,Platform,Activision,0.74,0.03,0.01,0.12,0.9
2366,Buzz! The Mega Quiz,PS2,2007,Misc,Sony Computer Entertainment,0.32,0.06,0,0.5,0.88
2406,Warriors Orochi,PS2,2007,Action,Tecmo Koei,0.11,0.09,0.64,0.03,0.87
2410,SingStar '90s,PS2,2007,Misc,Sony Computer Entertainment,0.1,0.59,0,0.18,0.87
2442,Harry Potter and the Order of the Phoenix,DS,2007,Action,Electronic Arts,0.28,0.47,0,0.1,0.85
2478,Time Crisis 4,PS3,2007,Shooter,Namco Bandai Games,0.32,0.33,0.05,0.14,0.84
2526,Stranglehold,X360,2007,Shooter,Midway Games,0.4,0.33,0.01,0.09,0.82
2586,Rayman Raving Rabbids 2,DS,2007,Misc,Ubisoft,0.73,0.01,0,0.06,0.8
2614,Dance Dance Revolution SuperNOVA 2,PS2,2007,Simulation,Konami Digital Entertainment,0.64,0.03,0.02,0.1,0.79
2790,Tiger Woods PGA Tour 08,PS3,2007,Sports,Electronic Arts,0.22,0.38,0,0.14,0.74
2806,Practise English!,DS,2007,Misc,Nintendo,0,0,0.73,0,0.73
2946,Metal Gear Solid: Portable Ops Plus,PSP,2007,Action,Konami Digital Entertainment,0.26,0.01,0.26,0.17,0.69
2982,Spider-Man 3,PS3,2007,Platform,Activision,0.26,0.29,0.02,0.12,0.68
3010,Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007,Role-Playing,Square Enix,0.22,0.01,0.42,0.02,0.67
3014,The Darkness,PS3,2007,Shooter,Take-Two Interactive,0.2,0.34,0,0.13,0.67
3154,Stuntman: Ignition,X360,2007,Racing,THQ,0.25,0.32,0,0.07,0.64
3178,NBA Live 08,PS3,2007,Sports,Electronic Arts,0.56,0.02,0.01,0.05,0.64
3210,Cabela's Big Game Hunter (2008),Wii,2007,Sports,Activision,0.58,0,0,0.05,0.63
3266,SpongeBob's Atlantis SquarePantis,Wii,2007,Action,THQ,0.57,0.01,0,0.04,0.62
44,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
208,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98
292,Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,2.35,1.28,0.03,0.41,4.06
356,Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games,1.61,1.5,0.1,0.39,3.61
492,Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,1.43,1.13,0.05,0.3,2.91
504,Imagine: Babyz,DS,2007,Simulation,Ubisoft,1.3,1.27,0,0.31,2.88
516,BioShock,X360,2007,Shooter,Take-Two Interactive,1.65,0.86,0.05,0.28,2.83
524,Imagine: Fashion Designer,DS,2007,Simulation,Ubisoft,1.32,1.19,0,0.3,2.81
576,LEGO Star Wars: The Complete Saga,X360,2007,Action,LucasArts,1.53,0.87,0,0.24,2.64
596,Monster Hunter Freedom 2,PSP,2007,Role-Playing,Capcom,0.37,0.27,1.75,0.18,2.58
737,Guitar Hero II,X360,2007,Misc,Activision,2.01,0.02,0,0.17,2.2
741,High School Musical: Makin' the Cut!,DS,2007,Puzzle,Disney Interactive Studios,1.06,0.91,0,0.23,2.2
957,Metroid Prime 3: Corruption,Wii,2007,Shooter,Nintendo,0.91,0.74,0.07,0.09,1.82
1009,Crackdown,X360,2007,Shooter,Microsoft Game Studios,1,0.54,0.03,0.18,1.75
1045,Deal or No Deal,DS,2007,Misc,Mindscape,1.15,0.41,0,0.15,1.71
1057,Ben 10: Protector of Earth,DS,2007,Action,D3Publisher,0.69,0.83,0,0.19,1.7
1297,Disney Princess: Magical Jewels,DS,2007,Adventure,Disney Interactive Studios,1.15,0.2,0,0.12,1.47
1333,My Word Coach,DS,2007,Misc,Ubisoft,0.37,0.9,0,0.18,1.45
1441,Namco Museum DS,DS,2007,Misc,Atari,1.18,0.01,0.06,0.09,1.35
1521,EA Playground,Wii,2007,Sports,Electronic Arts,0.69,0.48,0,0.13,1.3
1601,Transformers: Autobots / Decepticons,DS,2007,Action,Activision,1.12,0.03,0,0.09,1.24
1621,Medal of Honor: Airborne,PS3,2007,Shooter,Electronic Arts,0.25,0.7,0.03,0.25,1.23
1633,The Sims 2: Castaway,Wii,2007,Simulation,Electronic Arts,0.45,0.64,0,0.14,1.23
1745,Final Fantasy Tactics: The War of the Lions,PSP,2007,Role-Playing,Square Enix,0.45,0.25,0.3,0.16,1.16
1757,Medal of Honor Heroes 2,PSP,2007,Shooter,Electronic Arts,0.5,0.39,0.02,0.25,1.16
1837,Guitar Hero Encore: Rocks The 80s,PS2,2007,Misc,RedOctane,0.92,0.04,0,0.15,1.11
1945,DiRT,PS3,2007,Racing,Codemasters,0.16,0.67,0,0.23,1.06
1965,Apollo Justice: Ace Attorney,DS,2007,Adventure,Capcom,0.32,0.06,0.64,0.04,1.06
1989,The Simpsons Game,X360,2007,Action,Electronic Arts,0.54,0.4,0,0.11,1.05
1993,Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,Atari,0.33,0.37,0.26,0.09,1.04
2017,Tiger Woods PGA Tour 08,Wii,2007,Sports,Electronic Arts,0.94,0.02,0,0.08,1.03
2029,Naruto: Clash of Ninja Revolution,Wii,2007,Fighting,Tomy Corporation,0.45,0.46,0,0.11,1.02
2033,Petz: Catz 2,DS,2007,Simulation,Ubisoft,0.51,0.4,0,0.11,1.02
2101,WWE SmackDown vs Raw 2008,Wii,2007,Fighting,THQ,0.38,0.5,0,0.11,0.99
2329,Madden NFL 08,Wii,2007,Sports,Electronic Arts,0.82,0.01,0,0.07,0.89
2537,Patapon,PSP,2007,Misc,Sony Computer Entertainment,0.33,0.25,0.07,0.17,0.81
2581,The Sims 2: Castaway,PSP,2007,Simulation,Electronic Arts,0.08,0.46,0,0.25,0.8
2617,Ghost Squad,Wii,2007,Shooter,Sega,0.42,0.21,0.08,0.07,0.79
2637,Buzz! The Hollywood Quiz,PS2,2007,Misc,Sony Computer Entertainment,0.17,0,0,0.61,0.78
2713,Kane & Lynch: Dead Men,X360,2007,Shooter,Eidos Interactive,0.36,0.31,0.01,0.08,0.76
2721,Kane & Lynch: Dead Men,PS3,2007,Shooter,Eidos Interactive,0.29,0.32,0.01,0.13,0.76
2769,Tom Clancy's Rainbow Six: Vegas,PSP,2007,Shooter,Ubisoft,0.42,0.19,0,0.14,0.74
2789,Pirates of the Caribbean: At World's End,PS3,2007,Action,Disney Interactive Studios,0.17,0.41,0,0.15,0.74
2793,Harvest Moon DS: Island of Happiness,DS,2007,Simulation,Rising Star Games,0.44,0.01,0.25,0.04,0.74
2841,Major League Baseball 2K7,X360,2007,Sports,Spike,0.67,0,0,0.05,0.72
2857,Crysis,PC,2007,Shooter,Electronic Arts,0,0.69,0,0.03,0.72
2861,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007,Role-Playing,Square Enix,0.18,0.01,0.5,0.02,0.71
2897,Two Worlds,X360,2007,Role-Playing,SouthPeak Games,0.41,0.23,0,0.07,0.71
2997,Cars: Mater-National Championship,DS,2007,Racing,THQ,0.63,0.01,0,0.05,0.68
3009,Unreal Tournament III,PS3,2007,Shooter,Midway Games,0.33,0.24,0,0.11,0.67
3057,Tony Hawk's Proving Ground,PS2,2007,Sports,Activision,0.55,0.02,0,0.09,0.66
3077,Wario: Master of Disguise,DS,2007,Platform,Nintendo,0.28,0.02,0.33,0.03,0.66
3125,MX vs. ATV Untamed,PSP,2007,Racing,THQ,0.35,0.18,0,0.12,0.65
3225,Shin Megami Tensei: Persona 3 FES,PS2,2007,Role-Playing,Tecmo Koei,0.22,0.2,0.16,0.05,0.63
3329,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",X360,2007,Action,Activision,0.51,0.05,0,0.05,0.61
3345,NBA 2K8,PS2,2007,Sports,Take-Two Interactive,0.5,0.02,0,0.08,0.6
3413,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Wii,2007,Action,Activision,0.52,0.03,0,0.04,0.59
3429,Final Fantasy Anniversary Edition,PSP,2007,Role-Playing,Square Enix,0.39,0.02,0.13,0.04,0.59
3441,Petz Dogz 2,Wii,2007,Simulation,Ubisoft,0.53,0.01,0,0.04,0.58
3509,Spider-Man 3,X360,2007,Platform,Activision,0.49,0.04,0,0.04,0.57
3625,Purr Pals,DS,2007,Simulation,THQ,0.18,0.36,0,0.02,0.56
3853,Ratatouille,PS3,2007,Action,THQ,0.09,0.32,0,0.11,0.52
3925,Picross DS,DS,2007,Puzzle,Nintendo,0.17,0.02,0.3,0.02,0.51
3985,NBA Street Homecourt,X360,2007,Sports,Electronic Arts,0.45,0.01,0,0.04,0.5
4077,Crash of the Titans,DS,2007,Action,Vivendi Games,0.42,0.02,0,0.04,0.49
4185,Spider-Man 3,DS,2007,Platform,Activision,0.41,0.02,0,0.04,0.47
4205,Spider-Man: Friend or Foe,DS,2007,Action,Activision,0.43,0,0,0.04,0.47
4221,Crayola: Treasure Adventures,DS,2007,Puzzle,Ignition Entertainment,0.43,0.01,0,0.03,0.47
4225,Imagine: Figure Skater (US sales),DS,2007,Sports,Ubisoft,0.46,0.01,0,0,0.47
4237,Crash of the Titans,Wii,2007,Action,Vivendi Games,0.4,0.03,0,0.04,0.46
4241,Syphon Filter: Logan's Shadow,PSP,2007,Shooter,Sony Computer Entertainment,0.25,0.12,0,0.09,0.46
4253,SingStar Amped,PS2,2007,Misc,Sony Computer Entertainment,0.23,0.18,0,0.06,0.46
4317,Barbie as The Island Princess,Wii,2007,Adventure,Activision,0.42,0,0,0.03,0.45
4325,The New York Times Crosswords,DS,2007,Puzzle,Majesco Entertainment,0.42,0,0,0.03,0.45
4389,Tony Hawk's Proving Ground,PS3,2007,Sports,Activision,0.36,0.05,0,0.05,0.45
4393,Worms: Open Warfare 2,PSP,2007,Strategy,THQ,0.04,0.26,0,0.14,0.45
4461,Petz: Horsez 2,DS,2007,Simulation,Ubisoft,0.41,0,0,0.03,0.44
4489,SpongeBob's Atlantis SquarePantis,PS2,2007,Action,THQ,0.36,0.01,0,0.06,0.44
4593,Yu-Gi-Oh! GX: Tag Force 2,PSP,2007,Strategy,Konami Digital Entertainment,0.03,0.2,0.1,0.11,0.42
4617,Solitaire Overload,DS,2007,Misc,Telegames,0.39,0,0,0.03,0.42
4785,Beowulf: The Game,X360,2007,Action,Ubisoft,0.36,0.01,0,0.03,0.4
4789,Overlord,X360,2007,Strategy,Codemasters,0.34,0.03,0.01,0.03,0.4
4837,Hot Wheels: Beat That!,PS2,2007,Racing,Activision,0.2,0.15,0,0.05,0.4
4873,Naruto: Path of the Ninja,DS,2007,Role-Playing,D3Publisher,0.37,0,0,0.03,0.4
4881,Fantastic Four: Rise of the Silver Surfer,PS2,2007,Action,Take-Two Interactive,0.19,0.15,0,0.05,0.39
4885,Juiced 2: Hot Import Nights,PS2,2007,Racing,THQ,0.19,0.15,0.01,0.05,0.39
4957,The Dog Island,Wii,2007,Adventure,Ubisoft,0.35,0.01,0,0.03,0.39
5005,Tamagotchi Connection: Corner Shop 3,DS,2007,Simulation,Atari,0.07,0,0.31,0.01,0.38
5013,NCAA Football 08,PS3,2007,Sports,Electronic Arts,0.35,0,0,0.03,0.38
5101,The BIGS,Wii,2007,Sports,Take-Two Interactive,0.34,0,0,0.03,0.37
5121,Spider-Man: Friend or Foe,PS2,2007,Action,Activision,0.31,0.01,0,0.05,0.37
5133,Harry Potter and the Order of the Phoenix,PSP,2007,Action,Electronic Arts,0.1,0.17,0,0.1,0.37
5161,The Sims 2: Castaway,PS2,2007,Simulation,Electronic Arts,0.3,0.01,0,0.05,0.37
5229,Worms: Open Warfare 2,DS,2007,Strategy,THQ,0.07,0.25,0,0.04,0.36
5305,Mega Man ZX Advent,DS,2007,Platform,Capcom,0.23,0,0.09,0.02,0.35
5349,Pirates of the Caribbean: At World's End,DS,2007,Action,Disney Interactive Studios,0.3,0.01,0.01,0.03,0.35
5361,Etrian Odyssey,DS,2007,Role-Playing,Nintendo,0.2,0.03,0.09,0.02,0.34
5365,Avatar: The Last Airbender - The Burning Earth,DS,2007,Action,THQ,0.31,0,0,0.03,0.34
5393,Bee Movie Game,Wii,2007,Action,Activision,0.31,0.01,0,0.03,0.34
5429,The Eye of Judgment,PS3,2007,Misc,Sony Computer Entertainment,0.28,0,0.02,0.03,0.34
5469,Planet Puzzle League,DS,2007,Puzzle,Nintendo,0.14,0.01,0.16,0.01,0.33
5557,Samurai Warriors 2: Xtreme Legends (JP sales),PS2,2007,Action,Tecmo Koei,0,0,0.33,0,0.33
5609,Crash of the Titans,X360,2007,Action,Vivendi Games,0.27,0.02,0,0.03,0.32
5713,Contra 4,DS,2007,Shooter,Konami Digital Entertainment,0.28,0,0.01,0.02,0.31
5725,Barbie as The Island Princess,DS,2007,Adventure,Activision,0.28,0.01,0,0.02,0.31
6033,Bladestorm: The Hundred Years' War,PS3,2007,Action,Tecmo Koei,0.1,0.03,0.14,0.02,0.29
6069,Shrek the Third,Wii,2007,Action,Activision,0.26,0.01,0,0.02,0.29
6165,Jackass the Game,PS2,2007,Action,Empire Interactive,0.14,0.11,0,0.04,0.28
6217,The Warriors,PSP,2007,Action,Take-Two Interactive,0.23,0.02,0,0.03,0.28
6265,Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan! 2,DS,2007,Misc,Nintendo,0,0,0.27,0,0.27
6269,Boogie,DS,2007,Misc,Electronic Arts,0.25,0,0,0.02,0.27
6353,Harry Potter and the Order of the Phoenix,PS2,2007,Action,Electronic Arts,0.13,0.1,0,0.03,0.27
6385,Ratatouille,X360,2007,Action,THQ,0.23,0.02,0,0.02,0.27
6445,All-Pro Football 2K8,X360,2007,Sports,Take-Two Interactive,0.24,0,0,0.02,0.26
6449,Battlestations: Midway,X360,2007,Strategy,Eidos Interactive,0.21,0.02,0,0.02,0.26
6465,Petz: Horsez 2,PS2,2007,Simulation,Ubisoft,0.13,0.1,0,0.03,0.26
6485,Phantasy Star Universe: Ambition of the Illuminus,PS2,2007,Role-Playing,Sega,0.1,0.08,0.05,0.03,0.26
6521,Juiced 2: Hot Import Nights,PS3,2007,Racing,THQ,0.18,0.04,0.01,0.03,0.26
6541,SD Gundam G Generation: Cross Drive,DS,2007,Strategy,Namco Bandai Games,0,0,0.26,0,0.26
6557,Avatar: The Last Airbender - The Burning Earth,Wii,2007,Action,THQ,0.24,0,0,0.02,0.26
6617,Spelling Challenges and more!,PSP,2007,Misc,Crave Entertainment,0.24,0,0,0.02,0.25
6885,Juiced 2: Hot Import Nights,DS,2007,Racing,THQ,0.22,0,0,0.02,0.24
6909,Viva Pinata: Party Animals,X360,2007,Misc,Microsoft Game Studios,0.19,0.03,0,0.02,0.24
6953,NASCAR 08,PS2,2007,Racing,Electronic Arts,0.12,0.09,0,0.03,0.24
6969,Hot Wheels: Beat That!,DS,2007,Racing,Activision,0.22,0,0,0.02,0.23
7001,M&M's Kart Racing,Wii,2007,Racing,Zoo Digital Publishing,0.22,0,0,0.02,0.23
7005,Looney Tunes: Acme Arsenal,Wii,2007,Action,Warner Bros. Interactive Entertainment,0.21,0.01,0,0.02,0.23
7105,Hooked! Real Motion Fishing,Wii,2007,Sports,505 Games,0.21,0,0,0.02,0.23
7117,Dinosaur King,DS,2007,Strategy,Sega,0.2,0,0,0.02,0.23
7189,The Legend of Spyro: The Eternal Night,Wii,2007,Platform,Vivendi Games,0.18,0.02,0,0.02,0.22
7277,DS Nishimura Kyotaro Suspense Shin Tantei Series: Kyoto Atami Zekkai no Kotou - Satsui no Wana,DS,2007,Adventure,Tecmo Koei,0,0,0.22,0,0.22
3478,Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,2007,Action,Capcom,0.25,0,0.31,0.02,0.58
3550,Bratz 4 Real,DS,2007,Adventure,THQ,0.29,0.22,0,0.06,0.57
3578,Hotel Dusk: Room 215,DS,2007,Adventure,Nintendo,0.27,0.05,0.22,0.03,0.56
3582,Petz Dogz 2,PS2,2007,Simulation,Ubisoft,0.28,0.21,0,0.07,0.56
3590,Tony Hawk's Proving Ground,X360,2007,Sports,Activision,0.49,0.02,0,0.04,0.56
3594,Manhunt 2,PS2,2007,Action,Take-Two Interactive,0.27,0.21,0,0.07,0.56
3714,Manhunt 2,Wii,2007,Action,Take-Two Interactive,0.25,0.23,0,0.06,0.54
3798,Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,2007,Shooter,Ubisoft,0.35,0.1,0,0.08,0.53
3806,Stuntman: Ignition,PS3,2007,Racing,THQ,0.17,0.26,0,0.1,0.53
3834,The Golden Compass,PS2,2007,Action,Sega,0.13,0,0,0.39,0.52
3878,My Word Coach,Wii,2007,Misc,Ubisoft,0.46,0.02,0,0.04,0.51
3926,Final Fantasy II Anniversary Edition,PSP,2007,Role-Playing,Square Enix,0.36,0.03,0.07,0.04,0.51
3974,Boogie,Wii,2007,Misc,Electronic Arts,0.43,0.03,0,0.04,0.5
4010,Tomb Raider: Anniversary,PS2,2007,Action,Eidos Interactive,0.41,0.02,0,0.07,0.5
4086,Scrabble 2007 Edition,DS,2007,Puzzle,Ubisoft,0,0.48,0,0,0.48
4134,Dynasty Warriors Gundam,PS3,2007,Action,Tecmo Koei,0.14,0.01,0.31,0.02,0.48
4230,MX vs. ATV Untamed,PS3,2007,Racing,THQ,0.35,0.06,0,0.05,0.46
4286,The Golden Compass,X360,2007,Action,Sega,0.3,0.12,0,0.04,0.46
4306,Pirates of the Caribbean: At World's End,Wii,2007,Action,Disney Interactive Studios,0.39,0.02,0.01,0.04,0.46
4462,Puppy Luv: Spa and Resort,DS,2007,Simulation,Activision,0.4,0,0,0.03,0.44
4490,Dragon Ball Z: Shin Budokai - Another Road,PSP,2007,Fighting,Atari,0.19,0.09,0.08,0.07,0.44
4546,Def Jam Icon,PS3,2007,Action,Electronic Arts,0.16,0.19,0,0.08,0.43
4566,Pirates of the Caribbean: At World's End,PSP,2007,Action,Disney Interactive Studios,0.15,0.17,0,0.1,0.43
4606,Avatar: The Last Airbender - The Burning Earth,PS2,2007,Action,THQ,0.21,0.16,0,0.05,0.42
4642,Thrillville: Off the Rails,PS2,2007,Strategy,LucasArts,0.2,0.16,0,0.05,0.42
4666,Pirates of the Caribbean: At World's End,PS2,2007,Action,Disney Interactive Studios,0.2,0.16,0,0.05,0.42
4670,Castlevania: The Dracula X Chronicles,PSP,2007,Platform,Konami Digital Entertainment,0.22,0.09,0.04,0.07,0.42
4690,Crash of the Titans,PS2,2007,Action,Vivendi Games,0.34,0.01,0,0.06,0.41
4994,SD Gundam G Generation Spirits,PS2,2007,Strategy,Namco Bandai Games,0,0,0.38,0,0.38
5010,Skate,PS3,2007,Sports,Electronic Arts,0.29,0.05,0,0.04,0.38
5166,My Horse & Me,DS,2007,Sports,Atari,0.33,0,0,0.03,0.36
5226,ATV/Monster Truck Mayhem,DS,2007,Racing,"Destination Software, Inc",0.33,0,0,0.02,0.36
5266,SOCOM: Tactical Strike,PSP,2007,Shooter,Sony Computer Entertainment,0.32,0.01,0,0.03,0.35
5338,Def Jam Icon,X360,2007,Action,Electronic Arts,0.3,0.01,0,0.03,0.35
5362,Conan,PS3,2007,Action,THQ,0.13,0.15,0,0.06,0.34
5430,Pirates of the Caribbean: At World's End,X360,2007,Action,Disney Interactive Studios,0.29,0.02,0,0.03,0.34
5550,Eternal Sonata,X360,2007,Role-Playing,Atari,0.19,0.04,0.08,0.02,0.33
5678,Clive Barker's Jericho,X360,2007,Shooter,Codemasters,0.28,0.01,0,0.02,0.32
5686,Shrek the Third,PSP,2007,Action,Activision,0.08,0.15,0,0.09,0.32
5710,Fishing Master,Wii,2007,Misc,Konami Digital Entertainment,0.29,0,0,0.02,0.31
5730,MLB 07: The Show,PS3,2007,Sports,Sony Computer Entertainment,0.29,0,0,0.02,0.31
5746,Dr. Seuss: How the Grinch Stole Christmas,DS,2007,Action,CokeM Interactive,0.29,0,0,0.02,0.31
5838,Stranglehold,PS3,2007,Shooter,Midway Games,0.24,0.03,0,0.03,0.3
5858,Super Robot Taisen W,DS,2007,Strategy,Banpresto,0,0,0.3,0,0.3
5862,Spider-Man 3,PSP,2007,Platform,Activision,0.01,0.23,0,0.06,0.3
5990,Punch-Out!!,Wii,2007,Sports,Nintendo,0.02,0.22,0.05,0,0.29
6058,Puzzle Quest: Challenge of the Warlords,Wii,2007,Puzzle,D3Publisher,0.26,0,0,0.02,0.29
6074,Surf's Up,PS2,2007,Sports,Ubisoft,0.14,0.11,0,0.04,0.29
6118,Baby Pals,DS,2007,Simulation,THQ,0.26,0.01,0,0.02,0.28
6158,Yu-Gi-Oh! World Championship 2008,DS,2007,Strategy,Konami Digital Entertainment,0.13,0.02,0.12,0.01,0.28
6170,Surf's Up,DS,2007,Sports,Ubisoft,0.26,0,0,0.02,0.28
6338,Bratz: The Movie,Wii,2007,Simulation,THQ,0.24,0.01,0,0.02,0.27
6398,Madden NFL 08,DS,2007,Sports,Electronic Arts,0.24,0,0,0.02,0.27
6422,The Dog Island,PS2,2007,Adventure,Ubisoft,0.13,0.1,0,0.03,0.27
6542,Tom Clancy's Splinter Cell: Double Agent,PS3,2007,Action,Ubisoft,0.2,0.03,0,0.03,0.26
6566,Sega Rally Revo,PSP,2007,Racing,Sega,0.03,0.15,0,0.08,0.26
6646,Tony Hawk's Proving Ground,Wii,2007,Sports,Activision,0.22,0.01,0,0.02,0.25
6658,Animal Paradise,DS,2007,Simulation,Empire Interactive,0.09,0.14,0,0.02,0.25
6682,MotoGP '07,X360,2007,Racing,THQ,0.23,0,0,0.02,0.25
6734,Armored Core 4,X360,2007,Simulation,505 Games,0.19,0.01,0.03,0.02,0.25
6742,Cars: Mater-National Championship,PS2,2007,Racing,THQ,0.12,0.09,0,0.03,0.25
6842,Dancing With The Stars,Wii,2007,Misc,Activision,0.22,0,0,0.02,0.24
6850,Luminous Arc,DS,2007,Role-Playing,Rising Star Games,0.16,0,0.06,0.01,0.24
7034,Ultimate Duck Hunting: Hunting & Retrieving Ducks,Wii,2007,Sports,Detn8 Games,0.21,0,0,0.02,0.23
7046,NASCAR 08,PS3,2007,Racing,Electronic Arts,0.15,0.05,0,0.03,0.23
7066,Tony Hawk's Proving Ground,DS,2007,Sports,Activision,0.21,0.01,0,0.02,0.23
7070,World Series of Poker 2008: Battle for the Bracelets,PS2,2007,Misc,Activision,0.11,0.09,0,0.03,0.23
7521,Sengoku Basara 2 Heroes,PS2,2007,Action,Capcom,0,0,0.2,0,0.2
7705,Ratatouille,GBA,2007,Action,THQ,0.14,0.05,0,0,0.2
